"编号","开始答题时间","结束答题时间","答题时长","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:高德 / 百度等地图软件","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:小红书","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:大众点评","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:抖音 / 短视频平台","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:携程 / 马蜂窝等旅游平台","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:微信公众号 / 当地文旅平台","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:朋友推荐","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:到达当地后随机探索","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:其他：____","1.当你去一个不熟悉的旅游目的地时，通常会通过哪些方式寻找“去哪玩、去哪吃、有什么活动”？:其他：____[选项填空]","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:热门景点很多，但很难发现小众、在地的地点","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:推荐结果比较大众化，不太符合我当下的心情或状态","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:不知道这个地方“今天去是否合适”","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:很难看到最近正在发生的活动、展览、市集等","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:评论发布时间跨度大，不知道近期真实情况","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:很难判断人多不多、晒不晒、累不累、适不适合躺着休息","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:地点信息分散在不同 App，需要反复搜索","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:基本没有遇到这些问题","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:其他：____","2.你使用普通地图或旅游平台寻找目的地时，遇到过哪些问题？:其他：____[选项填空]","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:当天天气","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:当前时间 / 日落时间","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:自己当天的体力和心情","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:同行人数 / 和谁出行","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:人流量","3.旅行时，以下因素会在多大程度上影响你“今天去哪”？:当天是否有活动","4.如果有一个旅游地图可以根据“天气 + 时间 + 你的心情/体力 + 同行对象”等条件，动态推荐当天更适合去的地点，你的使用意愿如何？","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:小众海滩 / 无人沙滩","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:咖啡店 / 海边饮品店","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:本地小吃 / 海鲜 / 夜市","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:手作店 / DIY体验","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:美术馆 / 展览 / 文化空间","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:潜水 / 桨板 / 冲浪等玩水项目","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:渔村 / 市场 / 本地生活空间","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:日落点 / 夜间活动","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:适合发呆、休息、吹风的“躺平地点”","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:临时市集 / 节庆 / 快闪活动","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:其他：____","5.对于陵水这样的地区型旅游目的地，你更希望地图除了著名景点，还收录哪些内容？:其他：____[选项填空]","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:今天有什么活动","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:本周有哪些展览 / 市集 / 演出","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:最近是否施工、关闭或新开放","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:当前或近期人流情况","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:最近游客的真实评价","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:日落时间 / 天气是否适合","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:近期热度变化","6.如果某个地点可以展示下面这些“近期信息”，你最想看到哪些？:我对这些实时信息不太感兴趣","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:看其他游客最近发布的真实体验","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:看游客对地点的吐槽 / 避坑信息","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:分享自己发现的小众地点","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:发布照片和旅行碎片","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:评论其他游客的帖子","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:点赞有帮助的信息","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:收藏店铺 / 地点","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:把收藏地点整理成自己的旅行路线","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:我只想看，不太会发布","7.如果地图中有一个游客社区，你会愿意进行哪些行为？:我对社区功能没有需求","8.你最希望这个地图优先解决什么问题？（选填）","9.您通常属于哪种旅行方式？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"92","30-Aug-2026 22:41:29","30-Aug-2026 22:43:22","113","A.高德 / 百度等地图软件","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","A.热门景点很多，但很难发现小众、在地的地点","","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","G.地点信息分散在不同 App，需要反复搜索","","","","3","3","2","1","1","2","A.非常愿意","A.小众海滩 / 无人沙滩","B.咖啡店 / 海边饮品店","","","E.美术馆 / 展览 / 文化空间","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","","I.我只想看，不太会发布","","无","A.独自旅行","简体中文","未清洗","","中国","重庆市","重庆市","","222**********","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/604.5.100.1 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"91","30-Aug-2026 22:41:29","30-Aug-2026 22:43:21","112","","B.小红书","","D.抖音 / 短视频平台","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","3","3","5","5","5","4","B.比较愿意","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","F.潜水 / 桨板 / 冲浪等玩水项目","","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","B.本周有哪些展览 / 市集 / 演出","","D.当前或近期人流情况","","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","","I.我只想看，不太会发布","","无","A.独自旅行","简体中文","未清洗","","中国","江西省","赣州市","","182***********","Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/601.1.46.45.1 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"90","30-Aug-2026 22:41:13","30-Aug-2026 22:43:21","128","","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","H.到达当地后随机探索","","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","4","5","5","5","5","4","A.非常愿意","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","F.潜水 / 桨板 / 冲浪等玩水项目","","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","B.本周有哪些展览 / 市集 / 演出","","","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","H.近期热度变化","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","F.点赞有帮助的信息","","","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","安徽省","淮南市","","120************","Mozilla/5.0 (Linux; Android 12; M6 Note) AppleWebKit/608.1.24.5 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"89","30-Aug-2026 22:38:14","30-Aug-2026 22:39:44","90","","B.小红书","C.大众点评","","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","A.热门景点很多，但很难发现小众、在地的地点","","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","G.地点信息分散在不同 App，需要反复搜索","","","","3","4","4","4","4","3","E.完全不愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","E.跟团或多人活动","简体中文","未清洗","","中国","河北省","保定市","","183**********","Mozilla/5.0 (Linux; Android 10; M6 Note) AppleWebKit/610.1.20.4 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"88","30-Aug-2026 22:38:24","30-Aug-2026 22:39:44","80","A.高德 / 百度等地图软件","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","","","A.热门景点很多，但很难发现小众、在地的地点","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","4","5","3","3","3","5","C.一般","","B.咖啡店 / 海边饮品店","","","E.美术馆 / 展览 / 文化空间","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","B.本周有哪些展览 / 市集 / 演出","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","F.点赞有帮助的信息","","","I.我只想看，不太会发布","","无","E.跟团或多人活动","简体中文","未清洗","","中国","河南省","南阳市","","42.**********","Mozilla/5.0 (Linux; Android 12; M6 Note) AppleWebKit/600.1.4.15.3 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"87","30-Aug-2026 22:37:56","30-Aug-2026 22:39:43","107","","B.小红书","","D.抖音 / 短视频平台","","F.微信公众号 / 当地文旅平台","","H.到达当地后随机探索","","","A.热门景点很多，但很难发现小众、在地的地点","","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","G.地点信息分散在不同 App，需要反复搜索","","","","5","3","4","5","3","5","B.比较愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","","C.最近是否施工、关闭或新开放","","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","I.我对这些实时信息不太感兴趣","","","C.分享自己发现的小众地点","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","","I.我只想看，不太会发布","","无","E.跟团或多人活动","简体中文","未清洗","","中国","浙江省","温州市","","117**********","Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_3 like Mac OS X) AppleWebKit/601.5.10 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"86","30-Aug-2026 22:33:54","30-Aug-2026 22:36:09","135","","B.小红书","","D.抖音 / 短视频平台","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","A.热门景点很多，但很难发现小众、在地的地点","","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","G.地点信息分散在不同 App，需要反复搜索","","","","4","5","4","5","5","4","C.一般","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","A.今天有什么活动","","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","C.朋友结伴","简体中文","未清洗","","中国","河北省","邯郸市","","183************","Mozilla/5.0 (Linux; Android 13; M6 Note) AppleWebKit/600.1.4.13.2 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"85","30-Aug-2026 22:34:39","30-Aug-2026 22:36:08","89","","B.小红书","","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","H.到达当地后随机探索","","","A.热门景点很多，但很难发现小众、在地的地点","","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","","H.基本没有遇到这些问题","","","4","5","5","4","4","5","B.比较愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","F.点赞有帮助的信息","","","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","上海市","上海市","","117***********","Mozilla/5.0 (Linux; Android 13; M6 Note) AppleWebKit/604.3.2 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"84","30-Aug-2026 22:31:43","30-Aug-2026 22:34:08","145","A.高德 / 百度等地图软件","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","4","5","4","4","4","3","B.比较愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","G.收藏店铺 / 地点","","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","河南省","三门峡市","","223**********","Mozilla/5.0 (Linux; Android 9; M6 Note) AppleWebKit/601.1.32.2.8 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"83","30-Aug-2026 22:32:34","30-Aug-2026 22:34:05","91","","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","I.其他：____{fillblank-q1a1}","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","","H.基本没有遇到这些问题","","","2","1","2","2","2","3","A.非常愿意","","B.咖啡店 / 海边饮品店","","","E.美术馆 / 展览 / 文化空间","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","","C.最近是否施工、关闭或新开放","","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","I.我对这些实时信息不太感兴趣","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","F.点赞有帮助的信息","","","I.我只想看，不太会发布","","无","D.亲子 / 家庭","简体中文","未清洗","","中国","辽宁省","大连市","","42.*********","Mozilla/5.0 (iPhone; CPU iPhone OS 13_0 like Mac OS X) AppleWebKit/608.1.24.40.1 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"82","30-Aug-2026 22:31:46","30-Aug-2026 22:34:05","139","","B.小红书","C.大众点评","","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","5","3","4","5","3","5","E.完全不愿意","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","A.今天有什么活动","","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","G.收藏店铺 / 地点","","I.我只想看，不太会发布","","无","A.独自旅行","简体中文","未清洗","","中国","河南省","平顶山市","","61.**********","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/600.1.5 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"81","30-Aug-2026 22:28:53","30-Aug-2026 22:30:33","100","","B.小红书","","D.抖音 / 短视频平台","E.携程 / 马蜂窝等旅游平台","","G.朋友推荐","","","","A.热门景点很多，但很难发现小众、在地的地点","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","","F.很难判断人多不多、晒不晒、累不累、适不适合躺着休息","G.地点信息分散在不同 App，需要反复搜索","","","","4","5","4","5","4","4","B.比较愿意","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","","C.最近是否施工、关闭或新开放","","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","H.近期热度变化","","","B.看游客对地点的吐槽 / 避坑信息","","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","黑龙江省","哈尔滨市","","112***********","Mozilla/5.0 (Linux; Android 15; M6 Note) AppleWebKit/610.3.7.1.10 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"80","30-Aug-2026 22:28:19","30-Aug-2026 22:30:32","133","","B.小红书","","D.抖音 / 短视频平台","","F.微信公众号 / 当地文旅平台","","H.到达当地后随机探索","","","A.热门景点很多，但很难发现小众、在地的地点","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","3","3","4","3","5","4","A.非常愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","A.今天有什么活动","","","D.当前或近期人流情况","E.最近游客的真实评价","","G.日落时间 / 天气是否适合","","","","B.看游客对地点的吐槽 / 避坑信息","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","A.独自旅行","简体中文","未清洗","","中国","河南省","南阳市","","42.**********","Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/604.1.21.6 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"79","30-Aug-2026 22:28:27","30-Aug-2026 22:30:32","125","","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","I.其他：____{fillblank-q1a1}","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","H.基本没有遇到这些问题","","","4","3","5","5","3","4","C.一般","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","B.本周有哪些展览 / 市集 / 演出","","","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","H.近期热度变化","","","B.看游客对地点的吐槽 / 避坑信息","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","D.亲子 / 家庭","简体中文","未清洗","","中国","浙江省","杭州市","","183***********","Mozilla/5.0 (Linux; Android 10; M6 Note) AppleWebKit/604.1.38.0.5 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"78","30-Aug-2026 22:26:29","30-Aug-2026 22:28:31","122","","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","I.其他：____{fillblank-q1a1}","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","1","4","3","1","3","2","A.非常愿意","","B.咖啡店 / 海边饮品店","","D.手作店 / DIY体验","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","","","B.看游客对地点的吐槽 / 避坑信息","","D.发布照片和旅行碎片","E.评论其他游客的帖子","","","H.把收藏地点整理成自己的旅行路线","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","黑龙江省","佳木斯市","","218**********","Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/534.59.2 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"77","30-Aug-2026 22:27:11","30-Aug-2026 22:28:30","79","","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","H.到达当地后随机探索","","","A.热门景点很多，但很难发现小众、在地的地点","B.推荐结果比较大众化，不太符合我当下的心情或状态","","D.很难看到最近正在发生的活动、展览、市集等","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","","","","3","3","1","3","1","2","B.比较愿意","","B.咖啡店 / 海边饮品店","C.本地小吃 / 海鲜 / 夜市","","","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","I.适合发呆、休息、吹风的“躺平地点”","","","","","","","D.当前或近期人流情况","E.最近游客的真实评价","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","","G.收藏店铺 / 地点","","I.我只想看，不太会发布","","无","B.情侣 / 两人","简体中文","未清洗","","中国","上海市","上海市","","117***********","Mozilla/5.0 (Linux; Android 10; M6 Note) AppleWebKit/608.1.27.20.1 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
"76","30-Aug-2026 22:25:00","30-Aug-2026 22:26:57","117","A.高德 / 百度等地图软件","","C.大众点评","","E.携程 / 马蜂窝等旅游平台","F.微信公众号 / 当地文旅平台","","","","","","B.推荐结果比较大众化，不太符合我当下的心情或状态","C.不知道这个地方“今天去是否合适”","","E.评论发布时间跨度大，不知道近期真实情况","","G.地点信息分散在不同 App，需要反复搜索","H.基本没有遇到这些问题","","","5","5","5","3","5","5","B.比较愿意","A.小众海滩 / 无人沙滩","B.咖啡店 / 海边饮品店","","","E.美术馆 / 展览 / 文化空间","","G.渔村 / 市场 / 本地生活空间","H.日落点 / 夜间活动","","J.临时市集 / 节庆 / 快闪活动","","","","B.本周有哪些展览 / 市集 / 演出","","D.当前或近期人流情况","","F.最近热门关键词，例如“日落好看”“蚊虫较多”“下午比较晒”","G.日落时间 / 天气是否适合","","","","","C.分享自己发现的小众地点","","E.评论其他游客的帖子","F.点赞有帮助的信息","","","I.我只想看，不太会发布","","无","A.独自旅行","简体中文","未清洗","","中国","福建省","福州市","","220***********","Mozilla/5.0 (iPhone; CPU iPhone OS 17 like Mac OS X) AppleWebKit/533.15 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN","",
